cmplt_ttrl_200703_200704
event_date;event_timestamp_msec;event_timestamp;event_name;ep_customer_city_id;ep_customer_country;ep_customer_country_id;ep_language;ep_country;ep_os_version;ep_customer_user_id;ep_timestamp;ep_device_type;ep_appsflyer_id;ep_mode;ep_event_name;ep_platform;ep_firebase_event_origin;ep_app_version;ep_firebase_screen_id;ep_step;ep_session_id;ep_event_id;ep_analytics_version;ep_firebase_screen_class;ep_ga_session_id;user_id;user_pseudo_id
2020-07-04;1593907195630011;2020-07-04 23:59:55;complete_tutorial;0;;0;pt;;9;0;2020-07-04 23:59:55;LM-X430;1593907192853-9105199346967905042;passenger;complete_tutorial;android;app;3.21.1;-5875801529729796294;3;c1f8350c-917d-4493-a433-5b7b467c9bf6;72dc438b-5042-4411-9207-c5f748b0d06d;2020-04-08v;InitTutorialActivity;1593907194;0;bf1e15f7c4be52d0e67be119648b4d14
2020-07-04;1593907192338011;2020-07-04 23:59:52;complete_tutorial;0;;0;es;;10;0;2020-07-04 23:59:52;SM-A505GT;1593907185384-8806232390694914568;passenger;complete_tutorial;android;app;3.21.1;3919689343909381468;3;cf135568-2e2e-41bf-88ce-379a5d3019b9;8d07cb12-93f3-495c-ba99-384156e98dd6;2020-04-08v;InitTutorialActivity;1593907184;0;93e474c6437b6c5f0cf0eab0f7fa2347
2020-07-04;1593907199282007;2020-07-04 23:59:59;complete_tutorial;0;;0;pt;;10;0;2020-07-04 23:59:59;SM-A207M;1593907192539-2593854401618718121;passenger;complete_tutorial;android;app;3.21.1;8345702993901356133;1;29377a79-3ff7-43d1-916a-f422bb09bdca;55969a1c-957b-4266-bf98-3c4a8352905c;2020-04-08v;InitTutorialActivity;1593907192;0;ca4683785472be21e0d116b0f50fb7de
2020-07-04;1593907196842007;2020-07-04 23:59:56;complete_tutorial;0;;0;pt;;9;0;2020-07-04 23:59:56;moto e6 play;1593907190502-3047760449616132215;passenger;complete_tutorial;android;app;3.21.1;-5272406019451163047;1;dd4c4a91-7515-4ad5-a149-bf7b43cdaaec;c95d1d5e-bd30-499a-8140-c0e1c45a2dad;2020-04-08v;InitTutorialActivity;1593907194;0;9b2b0d7a35799cd61df778f5d2488e8c
2020-07-04;1593907197934007;2020-07-04 23:59:57;complete_tutorial;0;;0;in;;9;0;2020-07-04 23:59:57;vivo 1902;1593907194831-3800293770937217951;passenger;complete_tutorial;android;app;3.21.1;-6316341573633175458;1;f5d27df3-74aa-4f16-9acf-37e4524bcf55;494f7614-9c00-4286-a44e-aae83f1cad4d;2020-04-08v;InitTutorialActivity;1593907194;0;8704828851dc66b005b20d062fa4943b
2020-07-04;1593907195937006;2020-07-04 23:59:55;complete_tutorial;0;;0;pt;;10;0;2020-07-04 23:59:55;SM-A105M;1593907190528-381542913459680345;passenger;complete_tutorial;android;app;3.21.1;-1464311201697711700;1;d1c0ae05-8773-43ad-9a96-db647ddb594a;6e4146a9-777d-4b83-b59e-50ff41bc3662;2020-04-08v;InitTutorialActivity;1593907189;0;5c1e14447aac7a530bbe1e086e3ba75e
2020-07-04;1593907193301011;2020-07-04 23:59:53;complete_tutorial;0;;0;es;;10;0;2020-07-04 23:59:53;MAR-LX3A;1593907184134-90802243286594693;passenger;complete_tutorial;android;app;3.21.1;-8415560372574448493;3;753cec97-b11d-4cad-a7e8-b861eeb15ac6;afd627dd-b0bd-476e-a6a4-c21087ec059d;2020-04-08v;InitTutorialActivity;1593907183;0;cc395b23b3b79fc6d57fe84ac4a297af
2020-07-04;1593907198651000;2020-07-04 23:59:58;complete_tutorial;0;;0;es;;5.1.1;0;2020-07-04 23:59:58;SM-J320M;1593907186961-5985875228529332215;passenger;complete_tutorial;android;app;3.21.1;3329691886464393973;3;8af86ef3-990b-4b86-811b-c11064aaee82;56ffca00-0285-4cf7-a0b4-12e7b66a9ffa;2020-04-08v;InitTutorialActivity;1593907187;0;79c7a94abd580ac9e621b601c31d2a39
2020-07-04;1593907191580006;2020-07-04 23:59:51;complete_tutorial;0;;0;pt;;9;0;2020-07-04 23:59:51;SM-A105M;1593907186199-3497777983605652041;passenger;complete_tutorial;android;app;3.21.1;-6715558347496059453;1;039caf54-1492-47f9-a54d-448b3b7c670b;f1818d5c-f34b-4f72-a221-49c1c42f94d2;2020-04-08v;InitTutorialActivity;1593907188;0;01bcaa9f49cd682d94ae5e581ac3c805
2020-07-04;1593907195864005;2020-07-04 23:59:55;complete_tutorial;0;;0;es;;8.0.0;0;2020-07-04 23:59:55;moto g(6) play;1593907193954-7527743535149881884;passenger;complete_tutorial;android;app;3.21.1;-7396426228124111168;1;3d1b3845-9993-46ab-9048-c44c3799f5de;483bc183-34a9-42ee-b708-3879bad6c0a2;2020-04-08v;InitTutorialActivity;1593907196;0;3a224259fef352684996d102bc14c19e
